Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-8-SHE,UZB-8-GOLI,UZB-8-KAM,UZB-8-OPE,Tekshiruv,UZB-8-SHE.1,UZB-8-GOLI.1,UZB-8-KAM.1,UZB-8-OPE.1,month
08 Surxondaryo,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,26,11,7,7,0,-1,113.41000000000001,72.17,72.17,0,iyul
08 Surxondaryo,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,24,12,4,8,0,ok,123.72,41.24,82.48,0,iyul
08 Surxondaryo,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,364,156,104,104,0,ok,1482.0,988.0,988.0,0,iyul
08 Surxondaryo,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,29,13,8,8,0,ok,143.0,88.0,88.0,0,iyul
08 Surxondaryo,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,996,432,284,280,0,ok,2963.52,1948.24,1920.8000000000002,0,iyul
08 Surxondaryo,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,147,63,42,42,0,ok,385.56,257.04,257.04,0,iyul
08 Surxondaryo,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,1200,520,340,340,0,ok,3182.4,2080.8,2080.8,0,iyul
08 Surxondaryo,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,460,200,140,120,0,ok,1430.0,1001.0,858.0,0,iyul
08 Surxondaryo,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,209,209,0,0,0,ok,1375.22,0.0,0.0,0,iyul
08 Surxondaryo,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,160,60,40,60,0,ok,396.0,264.0,396.0,0,iyul
08 Surxondaryo,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,1045,418,418,209,0,ok,2002.22,2002.22,1001.11,0,iyul
08 Surxondaryo,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,140,60,40,40,0,ok,330.0,220.0,220.0,0,iyul
08 Surxondaryo,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,72,32,24,24,0,8,176.0,132.0,132.0,0,iyul
08 Surxondaryo,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,151,66,43,43,0,1,595.3199999999999,387.85999999999996,387.85999999999996,0,iyul
08 Surxondaryo,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,24,12,4,8,0,ok,108.24,36.08,72.16,0,iyul
08 Surxondaryo,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,86,37,24,24,0,-1,407.0,264.0,264.0,0,iyul
08 Surxondaryo,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,2,1,1,1,0,1,7.02,7.02,7.02,0,iyul
08 Surxondaryo,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
08 Surxondaryo,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,29,13,8,8,0,ok,159.51,98.16,98.16,0,iyul
08 Surxondaryo,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,83,36,24,23,0,ok,275.40000000000003,183.60000000000002,175.95000000000002,0,iyul
08 Surxondaryo,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
