Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-11-REF,UZB-11-SHE,UZB-11-SAIB,UZB-11-OPE,Tekshiruv,UZB-11-REF.1,UZB-11-SHE.1,UZB-11-SAIB.1,UZB-11-OPE.1,month
11 Navoi,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,6,2,1,3,0,ok,20.62,10.31,30.93,0,iyul
11 Navoi,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,56,24,12,20,0,ok,247.44,123.72,206.20000000000002,0,iyul
11 Navoi,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,24,12,4,9,0,1,114.0,38.0,85.5,0,iyul
11 Navoi,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,104,44,24,36,0,ok,418.0,228.0,342.0,0,iyul
11 Navoi,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,1784,712,428,644,0,ok,4884.320000000001,2936.08,4417.84,0,iyul
11 Navoi,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,438,174,105,159,0,ok,1064.8799999999999,642.6,973.0799999999999,0,iyul
11 Navoi,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,956,380,228,348,0,ok,2325.6,1395.3600000000001,2129.76,0,iyul
11 Navoi,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,120,40,20,60,0,ok,286.0,143.0,429.0,0,iyul
11 Navoi,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,ok,0.0,0.0,0.0,0,iyul
11 Navoi,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,120,40,40,40,0,ok,264.0,264.0,264.0,0,iyul
