Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-14-MIR,UZB-14-SHE,UZB-14-OPE,Tekshiruv,UZB-14-MIR.1,UZB-14-SHE.1,UZB-14-OPE.1,month
14 Qoraqalpogiston,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,7,2,5,0,ok,20.62,51.550000000000004,0,iyul
14 Qoraqalpogiston,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,16,4,12,0,ok,41.24,123.72,0,iyul
14 Qoraqalpogiston,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,24,8,16,0,ok,76.0,152.0,0,iyul
14 Qoraqalpogiston,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,16,4,12,0,ok,38.0,114.0,0,iyul
14 Qoraqalpogiston,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,164,56,108,0,ok,384.16,740.88,0,iyul
14 Qoraqalpogiston,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,84,28,56,0,ok,171.36,342.72,0,iyul
14 Qoraqalpogiston,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,80,20,60,0,ok,143.0,429.0,0,iyul
14 Qoraqalpogiston,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,20,0,20,0,ok,0.0,110.0,0,iyul
14 Qoraqalpogiston,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,31,10,21,0,ok,90.19999999999999,189.42,0,iyul
14 Qoraqalpogiston,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,4,0,4,0,ok,0.0,36.08,0,iyul
14 Qoraqalpogiston,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,13,4,9,0,ok,30.6,68.85000000000001,0,iyul
14 Qoraqalpogiston,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,29,10,19,0,ok,77.0,146.3,0,iyul
14 Qoraqalpogiston,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,20,8,12,0,ok,50.4,75.6,0,iyul
14 Qoraqalpogiston,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,164,56,108,0,ok,352.8,680.4,0,iyul
14 Qoraqalpogiston,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,12,4,8,0,ok,26.2,52.4,0,iyul
14 Qoraqalpogiston,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,51,18,33,0,ok,100.80000000000001,184.79999999999998,0,iyul
14 Qoraqalpogiston,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,216,72,144,0,ok,403.2,806.4,0,iyul
14 Qoraqalpogiston,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,60,60,0,0,ok,291.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-090.209,46,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 209L,209,0,209,0,ok,0.0,1013.65,0,iyul
14 Qoraqalpogiston,EP-OIL-050.020,47,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-050.209,48,DIESEL,EPSENT DEO-EXLD 10W40 SYN API CI-4 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-080.020,49,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 20L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-080.209,50,DIESEL,EPSENT DEO-STABLE-AFT 15W40 API CI-4/SL - 209L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-191.001,51,TRANSMISS,EPSENT REDLINE CVT - 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
14 Qoraqalpogiston,EP-OIL-192.001,52,TRANSMISS,EPSENT REDLINE LV - 12x1L,0,0,0,0,ok,0.0,0.0,0,iyul
