Region,Codes/KOD,#,Categories Kategoriya,Description / Assortiment,Iyul,UZB-4-ISLM,UZB-4-MUR,UZB-4-QODI,UZB-4-BOB,UZB-4-OPE,Tekshiruv,UZB-4-ISLM.1,UZB-4-MUR.1,UZB-4-QODI.1,UZB-4-BOB.1,UZB-4-OPE.1,month
04 Namangan,EN-110.001,1,GASOLINE,ENOC Protec Flex Energy SP 0W20 1L,29,8,9,6,3,2,-1,82.48,92.79,61.86,30.93,20.62,iyul
04 Namangan,EN-110.004,2,GASOLINE,ENOC Protec Flex Energy SP 0W20 4L,84,24,28,16,8,8,ok,247.44,288.68,164.96,82.48,82.48,iyul
04 Namangan,EN-101.001,3,GASOLINE,ENOC Protec Flex Energy SP 5W30 1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-101.004,4,GASOLINE,ENOC Protec Flex Energy SP 5W30 4L,220,60,72,48,24,16,ok,570.0,684.0,456.0,228.0,152.0,iyul
04 Namangan,EN-120.001,5,GASOLINE,ENOC Protec Green C5 0W20 1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-191.001,6,GASOLINE,ENOC Protec X-Treme SP 5W40 1L,14,4,5,3,2,1,1,44.0,55.0,33.0,22.0,11.0,iyul
04 Namangan,EN-140.001,7,GASOLINE,ENOC Protec Premium SP 5W30 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-140.004,8,GASOLINE,ENOC Protec Premium SP 5W30 4x4L,756,204,244,160,88,60,ok,1399.44,1673.8400000000001,1097.6000000000001,603.6800000000001,411.6,iyul
04 Namangan,EN-171.209,9,GASOLINE,ENOC Protec Ultra SP 10W40 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-171.003,10,GASOLINE,ENOC Protec Ultra SP 10W40 3L,27,6,9,6,3,3,ok,36.72,55.080000000000005,36.72,18.36,18.36,iyul
04 Namangan,EN-171.004,11,GASOLINE,ENOC Protec Ultra SP 10W40 4L,352,96,112,76,40,28,ok,587.52,685.44,465.12,244.8,171.36,iyul
04 Namangan,EN-330.020,12,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 20L,480,120,160,100,60,40,ok,858.0,1144.0,715.0,429.0,286.0,iyul
04 Namangan,EN-330.209,13,DIESEL,ENOC Vulcan 990X EXLD 10W40 CK-4 M3477 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-331.020,14,DIESEL,ENOC Vulcan 990X SYNTECH 10W40 20L,940,260,300,240,60,80,ok,1716.0,1980.0,1584.0,396.0,528.0,iyul
04 Namangan,EN-320.209,15,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-320.020,16,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 20L,240,60,80,60,20,20,ok,330.0,440.0,330.0,110.0,110.0,iyul
04 Namangan,EN-320.008,17,DIESEL,ENOC Vulcan 770X 15W40 CI-4/SL M3275 8L,160,40,56,32,16,16,ok,220.0,308.0,176.0,88.0,88.0,iyul
04 Namangan,EN-010.001,18,TRANSMISS,ENOC Active Syn OEM Dex VI 1L,138,38,44,29,16,11,ok,342.76,396.88,261.58,144.32,99.22,iyul
04 Namangan,EN-010.004,19,TRANSMISS,ENOC Active Syn OEM Dex VI 4L,4,0,4,0,0,0,ok,0.0,36.08,0.0,0.0,0.0,iyul
04 Namangan,EN-011.001,20,TRANSMISS,ENOC Active Syn OEM LV 1L,14,4,5,3,2,1,1,44.0,55.0,33.0,22.0,11.0,iyul
04 Namangan,EN-001.001,21,TRANSMISS,ENOC Active Premium Dex III 1L,19,5,6,4,2,2,ok,35.099999999999994,42.12,28.08,14.04,14.04,iyul
04 Namangan,EN-040.000300,22,SPECIALITY,ENOC ENAYA DIESEL INJECTOR CLEANER 300ml,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-050.000300,23,SPECIALITY,ENOC ENAYA PETROL INJECTOR CLEANER 300ml,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EN-340.001,24,GEAR OIL,ENOC Zenon Premium Plus Synt GL-4 75W85 1L,7,2,2,1,1,1,ok,24.54,24.54,12.27,12.27,12.27,iyul
04 Namangan,EN-350.001,25,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 1L,64,17,21,13,7,5,-1,130.05,160.65,99.45,53.550000000000004,38.25,iyul
04 Namangan,EN-350.020,26,GEAR OIL,ENOC Zenon Ultra Plus GL-5 80W90 20L,40,20,20,0,0,0,ok,142.0,142.0,0.0,0.0,0.0,iyul
04 Namangan,EN-360.001,27,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 1L,42,11,14,9,5,3,ok,84.7,107.8,69.3,38.5,23.1,iyul
04 Namangan,EN-360.020,28,GEAR OIL,ENOC Zenon Ultra Plus GL-5 85W140 20L,80,20,40,20,0,0,ok,143.2,286.4,143.2,0.0,0.0,iyul
04 Namangan,EN-260.015,29,GREASE,ENOC Verron LX Grease 2-15kg,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-100.003,30,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 6x3L,48,12,15,9,6,3,-3,71.28,89.10000000000001,53.46,35.64,17.82,iyul
04 Namangan,EP-OIL-100.004,31,GASOLINE,EPSENT NEOTEC 10W40 SYN API SN/CJ-4 4x4L,12,4,4,4,0,0,ok,23.76,23.76,23.76,0.0,0.0,iyul
04 Namangan,EP-OIL-110.004,32,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 4x4L,100,28,32,20,12,8,ok,176.4,201.6,126.0,75.6,50.4,iyul
04 Namangan,EP-OIL-110.060,33,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 60L,120,60,60,0,0,0,ok,333.0,333.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-110.209,34,GASOLINE,EPSENT NEOTEC 5W30 DX1 API SP - 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-120.004,35,GASOLINE,EPSENT NEOTEC 5W30 SYN API SN/CJ-4 4x4L,108,28,36,24,12,8,ok,176.4,226.79999999999998,151.2,75.6,50.4,iyul
04 Namangan,EP-OIL-130.004,36,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 4x4L,68,20,20,16,8,4,ok,131.0,131.0,104.8,52.4,26.2,iyul
04 Namangan,EP-OIL-130.060,37,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 60L,60,0,0,60,0,0,ok,0.0,0.0,344.40000000000003,0.0,0.0,iyul
04 Namangan,EP-OIL-130.209,38,GASOLINE,EPSENT NEOTEC 5W40 API SN/CJ-4 - 209L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-150.001,39,GASOLINE,EPSENT PLUTON 0W20 API SP - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-170.004,40,GASOLINE,EPSENT PLUTON 5W30 API SP - 4x4L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-250.001,41,GASOLINE,EPSENT TRITON 10W60 API SP - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-260.001,42,GASOLINE,EPSENT TRITON 5W30 API SP - 12x1L,0,0,0,0,0,0,ok,0.0,0.0,0.0,0.0,0.0,iyul
04 Namangan,EP-OIL-090.003,43,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 6x3L,168,45,54,36,18,15,ok,252.0,302.40000000000003,201.60000000000002,100.80000000000001,84.0,iyul
04 Namangan,EP-OIL-090.004,44,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF 4x4L,756,204,244,160,88,60,ok,1142.3999999999999,1366.3999999999999,896.0,492.79999999999995,336.0,iyul
04 Namangan,EP-OIL-090.060,45,GASOLINE,EPSENT IMMUNITY 10W40 API SN/CF - 60L,360,60,180,60,60,0,ok,291.0,872.9999999999999,291.0,291.0,0.0,iyul
